type,total_volts,total_amps,cgpu_volts,cgpu_amps
idle,5048,632,5040,104
idle,5048,632,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,648,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
idle,5048,640,5040,104
